source,campaign,influencer_id,user_id,product,date,orders,revenue,group
YouTube,Campaign_2,31,5498,Gritzo Shake,2025-07-20 22:26:15.454833,3,477.15,1
Instagram,Campaign_5,48,4119,Gritzo Shake,2025-07-03 22:26:15.454833,5,324.05,1
Instagram,Campaign_1,48,9441,MB Protein,2025-06-19 22:26:15.454833,4,30.42,0
Twitter,Campaign_4,35,9227,Gritzo Shake,2025-06-04 22:26:15.454833,5,20.69,0
Instagram,Campaign_1,21,948,MB Protein,2025-05-25 22:26:15.454833,4,310.83,1
Instagram,Campaign_2,2,1023,MB Protein,2025-07-03 22:26:15.454833,5,34.74,0
YouTube,Campaign_3,45,2311,HK Multivitamin,2025-07-07 22:26:15.454833,1,35.43,0
YouTube,Campaign_5,46,2506,MB Protein,2025-06-01 22:26:15.454833,3,346.87,1
Twitter,Campaign_1,17,475,Gritzo Shake,2025-04-27 22:26:15.455825,3,307.05,1
YouTube,Campaign_4,20,6320,HK Multivitamin,2025-05-25 22:26:15.455825,3,20.57,0
YouTube,Campaign_5,20,3515,HK Multivitamin,2025-07-04 22:26:15.455825,5,24.68,0
Twitter,Campaign_5,32,6660,HK Multivitamin,2025-07-19 22:26:15.455825,5,30.2,0
Twitter,Campaign_5,26,7713,Gritzo Shake,2025-07-07 22:26:15.455825,4,29.5,0
Instagram,Campaign_3,42,5197,Gritzo Shake,2025-05-05 22:26:15.455825,5,23.05,0
YouTube,Campaign_4,22,2268,MB Protein,2025-07-05 22:26:15.455825,1,32.73,0
YouTube,Campaign_5,46,5910,MB Protein,2025-06-27 22:26:15.455825,5,349.39,1
Instagram,Campaign_3,38,8672,HK Multivitamin,2025-07-07 22:26:15.455825,1,26.72,0
YouTube,Campaign_1,50,9155,HK Multivitamin,2025-07-08 22:26:15.455825,2,38.84,0
Instagram,Campaign_1,21,6600,MB Protein,2025-06-02 22:26:15.455825,4,494.14,1
YouTube,Campaign_3,7,2678,Gritzo Shake,2025-06-20 22:26:15.456822,5,28.57,0
YouTube,Campaign_2,50,5907,HK Multivitamin,2025-04-25 22:26:15.456822,5,433.52,1
Twitter,Campaign_1,39,2058,MB Protein,2025-05-22 22:26:15.456822,4,35.67,0
YouTube,Campaign_3,23,8600,HK Multivitamin,2025-06-03 22:26:15.456822,4,30.9,0
Instagram,Campaign_3,14,7167,Gritzo Shake,2025-06-27 22:26:15.456822,4,36.46,0
Twitter,Campaign_1,18,3134,MB Protein,2025-06-02 22:26:15.456822,2,38.77,0
Twitter,Campaign_5,34,5343,HK Multivitamin,2025-05-18 22:26:15.456822,1,361.61,1
YouTube,Campaign_1,15,2071,MB Protein,2025-05-20 22:26:15.456822,1,487.03,1
YouTube,Campaign_1,44,5743,Gritzo Shake,2025-05-30 22:26:15.456822,4,334.42,1
Instagram,Campaign_4,2,57,MB Protein,2025-06-30 22:26:15.456822,5,368.12,1
YouTube,Campaign_1,11,8723,MB Protein,2025-04-30 22:26:15.456822,4,37.42,0
YouTube,Campaign_4,30,9756,HK Multivitamin,2025-06-22 22:26:15.457821,2,37.77,0
YouTube,Campaign_5,22,1149,MB Protein,2025-06-13 22:26:15.457821,1,20.02,0
Twitter,Campaign_5,35,5767,MB Protein,2025-06-24 22:26:15.457821,4,399.76,1
Twitter,Campaign_3,39,7781,MB Protein,2025-04-29 22:26:15.457821,1,28.98,0
Twitter,Campaign_2,37,9933,MB Protein,2025-05-03 22:26:15.457821,1,29.18,0
YouTube,Campaign_3,22,2386,MB Protein,2025-05-20 22:26:15.457821,1,434.24,1
YouTube,Campaign_2,46,8689,HK Multivitamin,2025-07-10 22:26:15.457821,3,32.77,0
Twitter,Campaign_1,4,9204,Gritzo Shake,2025-07-13 22:26:15.457821,4,414.71,1
YouTube,Campaign_2,46,1150,Gritzo Shake,2025-05-08 22:26:15.457821,3,405.39,1
Twitter,Campaign_4,39,6980,MB Protein,2025-05-11 22:26:15.457821,5,499.72,1
YouTube,Campaign_1,15,4293,MB Protein,2025-06-24 22:26:15.457821,2,31.78,0
Twitter,Campaign_4,40,4003,Gritzo Shake,2025-05-15 22:26:15.457821,4,39.0,0
YouTube,Campaign_2,46,870,Gritzo Shake,2025-06-04 22:26:15.458820,2,417.15,1
YouTube,Campaign_4,11,8795,Gritzo Shake,2025-04-28 22:26:15.458820,1,28.72,0
Twitter,Campaign_3,24,6194,HK Multivitamin,2025-06-16 22:26:15.458820,3,481.0,1
YouTube,Campaign_2,30,8818,MB Protein,2025-06-06 22:26:15.458820,2,375.1,1
Twitter,Campaign_4,39,2311,Gritzo Shake,2025-05-27 22:26:15.458820,3,432.52,1
Twitter,Campaign_2,35,3325,Gritzo Shake,2025-05-17 22:26:15.458820,2,365.17,1
Twitter,Campaign_4,37,6133,MB Protein,2025-05-19 22:26:15.458820,5,474.24,1
YouTube,Campaign_2,44,3791,MB Protein,2025-05-19 22:26:15.458820,1,35.34,0
Instagram,Campaign_5,14,2083,HK Multivitamin,2025-04-30 22:26:15.458820,1,319.94,1
Twitter,Campaign_5,9,5356,MB Protein,2025-04-23 22:26:15.458820,3,26.2,0
Twitter,Campaign_4,16,4863,MB Protein,2025-07-05 22:26:15.458820,1,32.2,0
YouTube,Campaign_3,46,9647,MB Protein,2025-05-24 22:26:15.459821,4,39.61,0
YouTube,Campaign_3,23,690,HK Multivitamin,2025-05-27 22:26:15.459821,2,21.47,0
Twitter,Campaign_2,40,3650,MB Protein,2025-05-11 22:26:15.459821,2,21.01,0
Instagram,Campaign_3,2,8352,HK Multivitamin,2025-06-02 22:26:15.459821,5,476.6,1
Instagram,Campaign_5,14,3997,MB Protein,2025-06-20 22:26:15.459821,2,20.64,0
Instagram,Campaign_4,2,4075,MB Protein,2025-07-06 22:26:15.459821,2,34.86,0
YouTube,Campaign_1,43,615,MB Protein,2025-06-29 22:26:15.459821,2,29.71,0
YouTube,Campaign_4,31,5377,Gritzo Shake,2025-04-26 22:26:15.459821,2,493.42,1
Twitter,Campaign_3,35,3702,Gritzo Shake,2025-05-28 22:26:15.459821,3,30.65,0
Twitter,Campaign_1,36,7628,MB Protein,2025-05-11 22:26:15.459821,2,38.8,0
Instagram,Campaign_1,12,67,Gritzo Shake,2025-06-25 22:26:15.459821,4,359.86,1
YouTube,Campaign_2,20,6322,HK Multivitamin,2025-06-03 22:26:15.460820,4,459.16,1
YouTube,Campaign_5,47,7612,MB Protein,2025-06-21 22:26:15.460820,2,440.19,1
YouTube,Campaign_5,23,9173,Gritzo Shake,2025-04-24 22:26:15.460820,2,33.99,0
Twitter,Campaign_1,26,6871,HK Multivitamin,2025-05-29 22:26:15.460820,2,406.14,1
YouTube,Campaign_3,22,7258,Gritzo Shake,2025-05-25 22:26:15.460820,5,468.29,1
Twitter,Campaign_1,9,7654,HK Multivitamin,2025-05-16 22:26:15.460820,2,401.08,1
YouTube,Campaign_2,50,995,HK Multivitamin,2025-07-01 22:26:15.460820,1,29.19,0
Instagram,Campaign_1,48,1484,MB Protein,2025-05-23 22:26:15.460820,5,496.98,1
YouTube,Campaign_2,41,2433,MB Protein,2025-06-22 22:26:15.460820,4,25.7,0
Twitter,Campaign_1,1,7343,HK Multivitamin,2025-04-30 22:26:15.460820,4,22.8,0
Twitter,Campaign_3,1,857,HK Multivitamin,2025-06-06 22:26:15.460820,4,23.66,0
YouTube,Campaign_1,43,9641,Gritzo Shake,2025-06-18 22:26:15.461821,2,29.08,0
YouTube,Campaign_1,41,8728,Gritzo Shake,2025-06-26 22:26:15.461821,4,461.2,1
YouTube,Campaign_2,5,3594,HK Multivitamin,2025-05-05 22:26:15.461821,4,32.6,0
YouTube,Campaign_5,15,5807,Gritzo Shake,2025-07-13 22:26:15.461821,2,27.66,0
YouTube,Campaign_5,20,2864,HK Multivitamin,2025-05-10 22:26:15.461821,5,38.29,0
Twitter,Campaign_1,4,3153,HK Multivitamin,2025-07-11 22:26:15.461821,5,30.47,0
Twitter,Campaign_2,17,3797,MB Protein,2025-05-07 22:26:15.461821,4,24.57,0
Twitter,Campaign_2,9,8507,MB Protein,2025-04-26 22:26:15.461821,5,21.23,0
YouTube,Campaign_5,27,1023,HK Multivitamin,2025-05-26 22:26:15.461821,3,397.07,1
YouTube,Campaign_4,11,3053,Gritzo Shake,2025-04-23 22:26:15.461821,3,32.61,0
Twitter,Campaign_2,32,9499,MB Protein,2025-07-11 22:26:15.461821,4,22.85,0
Instagram,Campaign_4,14,3853,Gritzo Shake,2025-04-28 22:26:15.462821,4,24.32,0
Twitter,Campaign_5,17,176,Gritzo Shake,2025-05-06 22:26:15.462821,5,322.36,1
Instagram,Campaign_1,14,3018,MB Protein,2025-06-28 22:26:15.462821,4,447.68,1
Instagram,Campaign_2,29,3403,MB Protein,2025-05-10 22:26:15.462821,5,35.3,0
Twitter,Campaign_4,1,8108,Gritzo Shake,2025-06-21 22:26:15.462821,2,333.75,1
Instagram,Campaign_1,12,2648,Gritzo Shake,2025-07-05 22:26:15.462821,4,28.83,0
YouTube,Campaign_2,23,3015,MB Protein,2025-07-03 22:26:15.462821,3,422.72,1
Twitter,Campaign_1,49,9539,MB Protein,2025-07-02 22:26:15.462821,1,33.64,0
YouTube,Campaign_5,10,1236,MB Protein,2025-06-26 22:26:15.462821,3,21.03,0
YouTube,Campaign_5,31,531,MB Protein,2025-07-15 22:26:15.462821,5,415.85,1
Twitter,Campaign_1,24,690,Gritzo Shake,2025-06-01 22:26:15.462821,5,39.56,0
Instagram,Campaign_3,38,2153,HK Multivitamin,2025-06-10 22:26:15.463833,4,432.13,1
Twitter,Campaign_1,28,4460,MB Protein,2025-05-01 22:26:15.463833,4,437.54,1
Twitter,Campaign_1,26,242,Gritzo Shake,2025-07-11 22:26:15.463833,2,23.68,0
Twitter,Campaign_2,3,7221,MB Protein,2025-04-27 22:26:15.463833,2,467.68,1
YouTube,Campaign_3,47,7485,Gritzo Shake,2025-05-09 22:26:15.463833,1,31.58,0
YouTube,Campaign_1,43,998,Gritzo Shake,2025-07-19 22:26:15.463833,1,25.61,0
Instagram,Campaign_5,14,7875,MB Protein,2025-06-26 22:26:15.463833,5,33.35,0
Twitter,Campaign_4,32,4347,MB Protein,2025-05-11 22:26:15.463833,1,343.16,1
Twitter,Campaign_4,16,2789,MB Protein,2025-05-18 22:26:15.463833,2,22.46,0
Twitter,Campaign_3,18,8037,Gritzo Shake,2025-05-10 22:26:15.463833,3,440.97,1
Twitter,Campaign_2,37,4375,Gritzo Shake,2025-06-04 22:26:15.463833,4,366.94,1
Twitter,Campaign_2,3,1138,HK Multivitamin,2025-06-30 22:26:15.463833,5,382.47,1
Instagram,Campaign_1,14,2874,MB Protein,2025-07-10 22:26:15.464868,1,32.17,0
Instagram,Campaign_2,2,2261,Gritzo Shake,2025-04-24 22:26:15.464868,4,38.73,0
YouTube,Campaign_5,45,6652,Gritzo Shake,2025-05-05 22:26:15.464868,1,25.16,0
YouTube,Campaign_3,43,5272,Gritzo Shake,2025-05-12 22:26:15.464868,3,36.01,0
Twitter,Campaign_4,36,178,Gritzo Shake,2025-05-07 22:26:15.464868,1,35.85,0
Twitter,Campaign_1,34,3597,MB Protein,2025-06-23 22:26:15.464868,1,355.39,1
YouTube,Campaign_1,46,3420,MB Protein,2025-05-23 22:26:15.464868,3,21.84,0
Instagram,Campaign_2,2,7875,Gritzo Shake,2025-05-31 22:26:15.464868,3,21.77,0
Twitter,Campaign_1,26,6393,Gritzo Shake,2025-06-04 22:26:15.464868,5,26.79,0
Twitter,Campaign_2,26,3944,HK Multivitamin,2025-04-26 22:26:15.464868,3,37.71,0
YouTube,Campaign_4,41,4792,HK Multivitamin,2025-04-22 22:26:15.464868,4,34.38,0
Instagram,Campaign_3,14,5405,Gritzo Shake,2025-06-09 22:26:15.464868,5,38.8,0
YouTube,Campaign_3,43,5130,MB Protein,2025-06-12 22:26:15.465859,1,319.79,1
YouTube,Campaign_3,10,8725,MB Protein,2025-05-25 22:26:15.465859,5,332.07,1
Twitter,Campaign_1,39,8317,HK Multivitamin,2025-05-28 22:26:15.465859,2,331.18,1
YouTube,Campaign_1,10,4041,HK Multivitamin,2025-05-16 22:26:15.465859,4,37.86,0
YouTube,Campaign_4,50,1531,Gritzo Shake,2025-07-03 22:26:15.465859,2,405.84,1
Twitter,Campaign_5,37,246,MB Protein,2025-06-29 22:26:15.465859,1,35.54,0
YouTube,Campaign_1,22,3242,Gritzo Shake,2025-07-10 22:26:15.465859,5,30.05,0
YouTube,Campaign_5,45,3180,MB Protein,2025-06-09 22:26:15.465859,4,25.63,0
YouTube,Campaign_1,33,9973,Gritzo Shake,2025-05-19 22:26:15.465859,2,28.9,0
Instagram,Campaign_5,14,1811,MB Protein,2025-05-31 22:26:15.465859,4,30.5,0
YouTube,Campaign_1,30,4451,HK Multivitamin,2025-06-22 22:26:15.465859,2,32.55,0
Twitter,Campaign_4,25,7855,HK Multivitamin,2025-06-14 22:26:15.465859,5,27.99,0
Twitter,Campaign_5,25,9097,Gritzo Shake,2025-06-10 22:26:15.466837,2,334.12,1
YouTube,Campaign_3,15,6283,HK Multivitamin,2025-05-02 22:26:15.466837,1,22.34,0
YouTube,Campaign_1,47,2970,Gritzo Shake,2025-07-01 22:26:15.466837,2,21.95,0
YouTube,Campaign_2,11,2493,Gritzo Shake,2025-04-25 22:26:15.466837,2,481.55,1
YouTube,Campaign_1,15,663,HK Multivitamin,2025-06-03 22:26:15.466837,3,22.82,0
Twitter,Campaign_5,39,2838,HK Multivitamin,2025-07-03 22:26:15.466837,1,413.39,1
YouTube,Campaign_3,31,9627,MB Protein,2025-06-12 22:26:15.466837,2,415.25,1
YouTube,Campaign_4,50,3003,Gritzo Shake,2025-06-11 22:26:15.466837,2,343.35,1
YouTube,Campaign_4,15,2070,MB Protein,2025-07-10 22:26:15.466837,3,459.44,1
Twitter,Campaign_3,49,8532,HK Multivitamin,2025-04-27 22:26:15.466837,2,35.67,0
Instagram,Campaign_1,6,8446,MB Protein,2025-05-05 22:26:15.467846,4,382.53,1
YouTube,Campaign_2,8,3128,MB Protein,2025-06-02 22:26:15.467846,4,457.18,1
YouTube,Campaign_2,11,2146,MB Protein,2025-07-16 22:26:15.467846,1,26.6,0
Twitter,Campaign_2,26,9705,HK Multivitamin,2025-07-08 22:26:15.467846,4,312.55,1
Twitter,Campaign_5,18,7891,MB Protein,2025-06-13 22:26:15.467846,2,33.29,0
Twitter,Campaign_2,24,1755,MB Protein,2025-07-08 22:26:15.467846,4,386.73,1
YouTube,Campaign_1,45,3734,Gritzo Shake,2025-07-15 22:26:15.467846,5,496.3,1
Twitter,Campaign_3,34,2391,MB Protein,2025-05-01 22:26:15.467846,1,478.14,1
YouTube,Campaign_1,5,7981,MB Protein,2025-07-08 22:26:15.467846,4,428.57,1
YouTube,Campaign_3,44,4192,HK Multivitamin,2025-06-20 22:26:15.467846,1,393.63,1
Instagram,Campaign_1,19,2972,MB Protein,2025-04-25 22:26:15.467846,3,31.34,0
YouTube,Campaign_1,10,1667,HK Multivitamin,2025-05-17 22:26:15.468843,3,31.16,0
Twitter,Campaign_1,35,2521,MB Protein,2025-04-22 22:26:15.468843,5,34.03,0
Instagram,Campaign_2,14,8954,HK Multivitamin,2025-06-14 22:26:15.468843,2,463.38,1
Twitter,Campaign_3,26,7151,MB Protein,2025-06-09 22:26:15.468843,3,324.95,1
YouTube,Campaign_5,13,3148,Gritzo Shake,2025-06-06 22:26:15.468843,4,28.95,0
Twitter,Campaign_2,25,225,Gritzo Shake,2025-06-10 22:26:15.468843,5,330.93,1
Twitter,Campaign_3,39,4439,MB Protein,2025-06-26 22:26:15.468843,5,29.1,0
YouTube,Campaign_1,30,3729,HK Multivitamin,2025-07-19 22:26:15.468843,2,371.37,1
Twitter,Campaign_4,34,9222,HK Multivitamin,2025-06-21 22:26:15.468843,2,32.5,0
YouTube,Campaign_3,5,7913,Gritzo Shake,2025-05-15 22:26:15.468843,3,337.69,1
YouTube,Campaign_2,10,3754,MB Protein,2025-05-02 22:26:15.468843,2,448.61,1
YouTube,Campaign_1,43,7875,HK Multivitamin,2025-07-09 22:26:15.468843,2,35.92,0
Instagram,Campaign_2,21,7812,Gritzo Shake,2025-07-04 22:26:15.469842,3,39.32,0
Twitter,Campaign_5,37,189,Gritzo Shake,2025-05-26 22:26:15.469842,1,34.09,0
YouTube,Campaign_5,7,218,HK Multivitamin,2025-04-30 22:26:15.469842,1,25.26,0
YouTube,Campaign_4,7,9034,MB Protein,2025-06-07 22:26:15.469842,3,39.76,0
YouTube,Campaign_2,43,1910,HK Multivitamin,2025-06-13 22:26:15.469842,5,37.92,0
YouTube,Campaign_3,11,9118,HK Multivitamin,2025-07-17 22:26:15.469842,1,307.07,1
Twitter,Campaign_2,24,1213,MB Protein,2025-05-31 22:26:15.469842,5,497.49,1
YouTube,Campaign_2,20,7858,MB Protein,2025-04-26 22:26:15.469842,1,20.52,0
Instagram,Campaign_5,48,7128,Gritzo Shake,2025-06-12 22:26:15.469842,1,403.65,1
YouTube,Campaign_1,5,3892,HK Multivitamin,2025-05-04 22:26:15.469842,4,369.62,1
YouTube,Campaign_2,41,5183,HK Multivitamin,2025-05-04 22:26:15.469842,2,399.69,1
YouTube,Campaign_4,31,8410,Gritzo Shake,2025-06-08 22:26:15.470843,2,24.28,0
Twitter,Campaign_3,1,8341,Gritzo Shake,2025-05-31 22:26:15.470843,5,27.68,0
Twitter,Campaign_5,25,8603,Gritzo Shake,2025-05-27 22:26:15.470843,2,33.37,0
Twitter,Campaign_4,49,4584,Gritzo Shake,2025-04-23 22:26:15.470843,5,471.06,1
